iter	RMSE
0	3.200298628
1	3.179798448
2	3.153939711
3	3.136042497
4	3.104695374
5	3.081827285
6	3.057527628
7	3.046673012
8	3.032498661
9	3.015973362
10	2.990369423
11	2.960344467
12	2.941107979
13	2.918895413
14	2.895765154
15	2.872732499
16	2.850034069
17	2.823638836
18	2.805210295
19	2.781146696
20	2.766882773
21	2.746525656
22	2.733491176
23	2.714963438
24	2.695610456
25	2.678876585
26	2.658085081
27	2.63624176
28	2.615639974
29	2.598295785
30	2.58086057
31	2.559769852
32	2.541640981
33	2.522433402
34	2.502031931
35	2.480406151
36	2.461715961
37	2.441693774
38	2.42120844
39	2.400059256
40	2.377353058
41	2.363061125
42	2.345446769
43	2.329846127
44	2.308789498
45	2.284983636
46	2.274175084
47	2.253369533
48	2.234369095
49	2.213492656
50	2.197556749
51	2.184111343
52	2.164429377
53	2.147712827
54	2.134655735
55	2.115303752
56	2.095382556
57	2.082067781
58	2.070552546
59	2.054985112
60	2.037863011
61	2.020092379
62	2.005347411
63	1.995360362
64	1.983611038
65	1.972206006
66	1.952757566
67	1.940225253
68	1.925927671
69	1.91229025
70	1.898502387
71	1.886998565
72	1.877358431
73	1.86186542
74	1.853970472
75	1.842973416
76	1.827344585
77	1.811114431
78	1.797667983
79	1.784307055
80	1.77323151
81	1.761086707
82	1.748300376
83	1.733239202
84	1.725251885
85	1.716854358
86	1.703012504
87	1.691065014
88	1.682179787
89	1.669558401
90	1.655446259
91	1.644448523
92	1.632202543
93	1.620215594
94	1.607728635
95	1.594209911
96	1.584222822
97	1.572595967
98	1.561117113
99	1.552420713
100	1.541173532
101	1.53053739
102	1.518029188
103	1.506394386
104	1.49385263
105	1.483512746
106	1.472702209
107	1.46226845
108	1.453226016
109	1.444442768
110	1.437468169
111	1.430100837
112	1.41746479
113	1.408283665
114	1.400707034
115	1.390252338
116	1.380522402
117	1.369360501
118	1.36011527
119	1.350346375
120	1.337655591
121	1.326786881
122	1.317422832
123	1.307586894
124	1.297501313
125	1.286235709
126	1.275793322
127	1.266974488
128	1.258282474
129	1.249221466
130	1.238554281
131	1.233222393
132	1.225880342
133	1.216637714
134	1.207640488
135	1.198859186
136	1.190644157
137	1.180076103
138	1.173873585
139	1.164666299
140	1.157788485
141	1.150121544
142	1.141745347
143	1.135554119
144	1.126681173
145	1.115229146
146	1.111282446
147	1.102880756
148	1.093861286
149	1.084327252
150	1.077084108
151	1.068040452
152	1.063144265
153	1.054584652
154	1.049185124
155	1.040044174
156	1.032646474
157	1.025534042
158	1.016881435
159	1.009403531
160	1.001692365
161	0.9960185272
162	0.988781315
163	0.9816157582
164	0.974217421
165	0.9651699024
166	0.9584560135
167	0.9503535682
168	0.9442204549
169	0.9382509086
170	0.9298540398
171	0.9228459266
172	0.9150025635
173	0.9077442565
174	0.9018124193
175	0.8943865702
176	0.8878068439
177	0.8801148971
178	0.8728306778
179	0.8641952604
180	0.8568280705
181	0.8501450056
182	0.8431280578
183	0.8354615395
184	0.8307894658
185	0.8258305495
186	0.821012153
187	0.8134367997
188	0.8046180923
189	0.7973904088
190	0.7908940141
191	0.78498542
192	0.7774908668
193	0.7717195799
194	0.7659627485
195	0.7603987755
196	0.7528932459
197	0.7459661978
198	0.7392616436
199	0.7339722158
200	0.7277373835
201	0.723592414
202	0.718716096
203	0.7121004333
204	0.7065596547
205	0.7010669094
206	0.696158767
207	0.6900448778
208	0.6843904306
209	0.6785428242
210	0.6741608769
211	0.6689271433
212	0.6635395281
213	0.6577143218
214	0.651862506
215	0.6479306359
216	0.6421893463
217	0.6375422009
218	0.6316884413
219	0.6266256186
220	0.6216252586
221	0.6161224623
222	0.6106395366
223	0.6061022463
224	0.6014595452
225	0.5959457734
226	0.5911365972
227	0.5861231458
228	0.5814416815
229	0.5761933648
230	0.5704186412
231	0.5651827102
232	0.5592890747
233	0.5546607208
234	0.5504272426
235	0.5453728669
236	0.5406145865
237	0.5357612002
238	0.5305871102
239	0.5261979932
240	0.5209698435
241	0.5162692871
242	0.512399522
243	0.5077815479
244	0.5029239655
245	0.4982907818
246	0.4937297796
247	0.4894202418
248	0.4850671596
249	0.4805745105
250	0.4748487495
251	0.4709974711
252	0.4669793965
253	0.4636353417
254	0.4594645156
255	0.4557011561
256	0.4515428899
257	0.4479759631
258	0.4444180289
259	0.440791479
260	0.4373162441
261	0.4333612327
262	0.4290635364
263	0.4251559985
264	0.4209548002
265	0.4172676653
266	0.4133287534
267	0.4095079817
268	0.406099109
269	0.4028328185
270	0.3995857663
271	0.3965314389
272	0.3936799482
273	0.3906063755
274	0.3867558807
275	0.3837065055
276	0.3801889423
277	0.3767332561
278	0.3734428836
279	0.3703945634
280	0.3671941955
281	0.3640087097
282	0.3608938064
283	0.3588074027
284	0.3558393035
285	0.3538910572
286	0.3517207598
287	0.3485634981
288	0.3457796427
289	0.342636371
290	0.3396434458
291	0.3365401278
292	0.3332883388
293	0.3300942042
294	0.3269567323
295	0.3238749489
296	0.3220141628
297	0.3190044181
298	0.3164711925
299	0.313406653
300	0.3106525686
301	0.3079482111
302	0.3053301765
303	0.3025476907
304	0.3002641103
305	0.2977926375
306	0.2951062542
307	0.2924682501
308	0.2900359833
309	0.2876541601
310	0.2852629691
311	0.2828288919
312	0.2801877359
313	0.2777290886
314	0.2750269908
315	0.2727127
316	0.2703492025
317	0.2682052636
318	0.2659729466
319	0.2633466699
320	0.2608904305
321	0.2582844735
322	0.2560921801
323	0.2536482416
324	0.2513760041
325	0.2489291875
326	0.2465213263
327	0.2447757549
328	0.2425550863
329	0.2406595063
330	0.2384920425
331	0.2362081705
332	0.2345723808
333	0.2321466828
334	0.2299388243
335	0.2286594033
336	0.2264997548
337	0.2246127644
338	0.2225070218
339	0.2207795089
340	0.2191241882
341	0.2179222623
342	0.2160723041
343	0.2144877467
344	0.2133231552
345	0.2119930298
346	0.2103740139
347	0.2093194276
348	0.208030327
349	0.2069188355
350	0.2054667614
351	0.204384613
352	0.2028255189
353	0.2018239151
354	0.2005166701
355	0.1992945716
356	0.1976518741
357	0.1967175688
358	0.1957969604
359	0.1948898682
360	0.193885085
361	0.1926134454
362	0.191455841
363	0.189907407
364	0.1890081286
365	0.1877849464
366	0.186237791
367	0.1853646013
368	0.1842060318
369	0.1830690183
370	0.1822427344
371	0.1807514372
372	0.1796505556
373	0.178600696
374	0.1774856885
375	0.1760538746
376	0.1750462074
377	0.1742901633
378	0.1728992859
379	0.172157894
380	0.1710285907
381	0.1703030816
382	0.168958024
383	0.1682466205
384	0.1669303992
385	0.1661390098
386	0.1652150451
387	0.1643065321
388	0.163037338
389	0.1623101281
390	0.1613234832
391	0.1607177932
392	0.1600267601
393	0.1587982454
394	0.1578453173
395	0.1569687515
396	0.1563025788
397	0.1553827451
398	0.1545364944
399	0.1538902391
400	0.1530024653
401	0.1523708959
402	0.1515586946
403	0.1509413521
404	0.1497283848
405	0.1491594568
406	0.148019962
407	0.1472528603
408	0.146497716
409	0.1457298971
410	0.1449893911
411	0.1438619952
412	0.1431377823
413	0.142270898
414	0.1415594341
415	0.1407435318
416	0.1399561876
417	0.1392679877
418	0.1381592539
419	0.1374833473
420	0.1367769684
421	0.1360532522
422	0.1352407872
423	0.1344499275
424	0.1337963515
425	0.1332706306
426	0.13224922
427	0.1315090581
428	0.1301963367
429	0.1296192204
430	0.1286415014
431	0.1279882952
432	0.1274260226
433	0.1268727814
434	0.1263830157
435	0.1251305539
436	0.1243905295
437	0.1238546703
438	0.1229267092
439	0.1222681247
440	0.1218037813
441	0.1208537832
442	0.120218382
443	0.1197684218
444	0.1191559202
445	0.1185371124
446	0.1181941108
447	0.1178564175
448	0.1175239467
449	0.1162908258
450	0.1159666261
451	0.1151094151
452	0.114792063
453	0.1139535967
454	0.1136436149
455	0.1133374892
456	0.1125206214
457	0.1122209424
458	0.1114219837
459	0.1110896349
460	0.1101918374
461	0.109903159
462	0.1091360748
463	0.1088527539
464	0.1079786321
465	0.1074079693
466	0.1065317589
467	0.1056751938
468	0.104837844
469	0.1045673357
470	0.1042630401
471	0.1031787598
472	0.1026599329
473	0.1023992525
474	0.1013495613
475	0.1010946438
476	0.1000658802
477	0.09978182896
478	0.09953462043
479	0.09844613964
480	0.0982045022
481	0.09729602604
482	0.09702687302
483	0.09651897527
484	0.09557881269
485	0.09463408405
486	0.0944049112
487	0.09359447547
488	0.09336967028
489	0.09247213014
490	0.09168110118
491	0.09094637144
492	0.09047540677
493	0.09005490281
494	0.08959305656
495	0.08884280366
496	0.0881373907
497	0.08768951287
498	0.08724788023
499	0.08656184319
500	0.08612892953
501	0.08570206859
502	0.08528118102
503	0.08461642342
504	0.0839497644
505	0.08329373598
506	0.08264817185
507	0.08201290836
508	0.08181662506
509	0.08119293434
510	0.08097478204
511	0.08036121264
512	0.07997656789
513	0.07978864715
514	0.07914525472
515	0.07855278983
516	0.07818114486
517	0.07768101289
518	0.07710708502
519	0.07674689235
520	0.07617628509
521	0.07599764725
522	0.07541964984
523	0.07485051958
524	0.07430851434
525	0.07396739396
526	0.07360348307
527	0.07326955013
528	0.07291272515
529	0.0723825471
530	0.07205811695
531	0.07161511819
532	0.07109922418
533	0.07046777493
534	0.06996535896
535	0.06963349512
536	0.0691403955
537	0.06862675962
538	0.06823774901
539	0.06773510055
540	0.06735767072
541	0.06695011271
542	0.06655355268
543	0.06633328215
544	0.06615970971
545	0.06598907984
546	0.06549269763
547	0.0651809059
548	0.06472198494
549	0.06427024476
550	0.06367967933
551	0.06337818382
552	0.06294017782
553	0.06248160532
554	0.06191543248
555	0.06149268808
556	0.06113029781
557	0.06069092989
558	0.06027713707
559	0.05992442854
560	0.05972857095
561	0.05957552877
562	0.05910453041
563	0.05864148273
564	0.05832227623
565	0.05798777727
566	0.05784077801
567	0.05771252519
568	0.05729947882
569	0.0571572173
570	0.05673903664
571	0.05633406
572	0.05584342681
573	0.05554486107
574	0.05515234591
575	0.05503138629
