iter	Passed	Remaining
0	0	440
1	0	462
2	1	417
3	1	390
4	1	378
5	2	374
6	2	368
7	2	363
8	3	360
9	3	356
10	3	352
11	4	351
12	4	355
13	5	354
14	5	355
15	5	354
16	6	355
17	6	355
18	6	353
19	7	351
20	7	341
21	7	341
22	8	340
23	8	339
24	8	343
25	9	351
26	9	353
27	10	353
28	10	352
29	10	352
30	11	352
31	11	353
32	12	353
33	12	352
34	12	353
35	13	355
36	13	357
37	14	361
38	14	360
39	15	362
40	15	362
41	15	363
42	16	362
43	16	363
44	17	363
45	17	362
46	17	361
47	18	360
48	18	360
49	18	359
50	19	359
51	19	358
52	20	359
53	20	358
54	20	360
55	21	360
56	21	359
57	22	359
58	22	359
59	23	369
60	23	369
61	24	369
62	24	369
63	25	368
64	25	367
65	25	366
66	26	366
67	26	365
68	27	364
69	27	363
70	27	362
71	28	362
72	28	360
73	28	359
74	29	359
75	29	359
76	29	358
77	30	358
78	30	358
79	31	358
80	31	357
81	31	356
82	32	357
83	32	356
84	33	355
85	33	354
86	33	354
87	34	355
88	34	355
89	35	355
90	35	355
91	35	354
92	36	354
93	36	355
94	37	355
95	37	355
96	38	355
97	38	355
98	39	355
99	39	355
100	39	354
101	40	355
102	40	355
103	41	354
104	41	354
105	41	354
106	42	353
107	42	353
108	43	352
109	43	352
110	44	352
111	44	352
112	44	352
113	45	351
114	45	351
115	46	351
116	46	350
117	46	350
118	47	350
119	47	349
120	48	350
121	48	351
122	49	351
123	49	351
124	50	351
125	50	350
126	50	350
127	51	350
128	51	349
129	52	348
130	52	348
131	52	347
132	53	347
133	53	347
134	54	346
135	54	346
136	55	346
137	55	346
138	55	346
139	56	345
140	57	349
141	57	348
142	58	348
143	58	347
144	59	348
145	59	347
146	59	347
147	60	347
148	60	346
149	61	346
150	61	346
151	61	345
152	62	344
153	62	344
154	63	343
155	63	343
156	63	342
157	64	341
158	64	341
159	64	340
160	65	339
161	65	339
162	65	338
163	66	337
164	66	337
165	66	336
166	67	335
167	67	335
168	68	334
169	68	333
170	68	333
171	69	332
172	69	331
173	69	331
174	70	330
175	70	330
176	71	330
177	71	329
178	71	329
179	72	328
180	72	327
181	72	327
182	73	326
183	73	326
184	74	326
185	74	325
186	74	325
187	75	325
188	75	325
189	76	325
190	76	325
191	77	325
192	77	325
193	78	325
194	78	324
195	79	324
196	79	324
197	79	323
198	80	323
199	80	322
200	81	322
201	81	322
202	82	322
203	82	321
204	82	321
205	83	320
206	83	320
207	84	320
208	84	319
209	84	319
210	85	318
211	85	318
212	86	318
213	86	318
214	87	318
215	87	317
216	87	317
217	88	317
218	88	317
219	89	316
220	89	316
221	90	316
222	90	315
223	91	315
224	91	315
225	91	314
226	92	314
227	92	313
228	93	313
229	93	312
230	93	312
231	94	312
232	94	311
233	95	311
234	95	310
235	95	310
236	96	310
237	96	309
238	97	309
239	97	308
240	97	308
241	98	307
242	98	307
243	99	306
244	99	306
245	99	306
246	100	305
247	100	305
248	101	304
249	101	304
250	101	303
251	102	303
252	102	302
253	102	302
254	103	301
255	103	301
256	104	300
257	104	300
258	104	300
259	105	299
260	105	299
261	106	298
262	106	298
263	106	297
264	107	297
265	107	296
266	107	296
267	108	295
268	109	296
269	109	296
270	109	295
271	110	295
272	110	294
273	111	294
274	111	293
275	111	293
276	112	292
277	112	292
278	113	292
279	113	291
280	113	291
281	114	290
282	114	290
283	114	289
284	115	289
285	115	288
286	115	288
287	116	287
288	116	287
289	117	286
290	117	286
291	117	285
292	118	285
293	118	284
294	118	284
295	119	283
296	119	283
297	120	282
298	120	282
299	121	283
300	122	284
301	122	284
302	123	283
303	123	283
304	124	282
305	124	282
306	124	281
307	125	281
308	125	280
309	125	280
310	126	279
311	126	279
312	127	278
313	127	278
314	127	278
315	128	277
316	128	277
317	128	276
318	129	276
319	129	275
320	130	275
321	130	275
322	131	274
323	131	274
324	131	273
325	132	273
326	132	273
327	133	272
328	133	272
329	133	271
330	134	271
331	134	270
332	134	270
333	135	269
334	135	269
335	136	269
336	136	268
337	136	268
338	137	267
339	137	267
340	138	266
341	138	266
342	138	265
343	139	265
344	139	265
345	139	264
346	140	264
347	140	263
348	141	263
349	141	262
350	141	262
351	142	262
352	142	261
353	143	261
354	143	260
355	143	260
356	144	259
357	144	259
358	145	258
359	145	258
360	145	258
361	146	257
362	146	257
363	146	256
364	147	256
365	147	255
366	147	255
367	148	254
368	148	254
369	149	253
370	149	253
371	149	252
372	150	252
373	150	251
374	150	251
375	151	250
376	151	250
377	151	249
378	152	249
379	152	249
380	153	248
381	153	248
382	153	247
383	154	248
384	155	248
385	155	247
386	156	247
387	156	246
388	156	246
389	157	245
390	157	245
391	157	245
392	159	245
393	159	245
394	159	244
395	160	244
396	160	243
397	160	243
398	161	242
399	161	242
400	161	241
401	162	241
402	162	241
403	163	241
404	164	241
405	164	240
406	164	240
407	165	239
408	166	240
409	166	239
410	167	239
411	167	238
412	167	238
413	168	238
414	168	237
415	168	237
416	169	236
