accelerateType,attributeAcceleration,attributeAggression,attributeAgility,attributeBalance,attributeBallControl,attributeComposure,attributeCrossing,attributeCurve,attributeDefensiveAwareness,attributeDribbling,attributeFinishing,attributeFkAccuracy,attributeGkDiving,attributeGkHandling,attributeGkKicking,attributeGkPositioning,attributeGkReflexes,attributeHeadingAccuracy,attributeInterceptions,attributeJumping,attributeLongPassing,attributeLongShots,attributePenalties,attributePositioning,attributeReactions,attributeShortPassing,attributeShotPower,attributeSlidingTackle,attributeSprintSpeed,attributeStamina,attributeStandingTackle,attributeStrength,attributeVision,attributeVolleys,bodytype,commonName,eaId,foot,height,overall,playstyles,playstylesPlus,positions,rolesPlus,rolesPlusPlus,skillMoves,weakFoot,weight,player_origin_id,debug_index,__true_player_id,archetype,metarating,__player_id
,72,84,77,79,86,84,70,85,75,81,69,79,1,1,1,1,1,64,77,76,92,78,74,78,82,90,84,75,70,84,77,75,88,77,Average Medium,Enzo Fernández,247090,Right,178,84,"['Incisive Pass', 'Flair', 'First Touch', 'Press Proven', 'Relentless']",['Long Ball Pass'],"['CDM', 'CM']","['CM Box to Box', 'CM Holding', 'CDM Holding']",[],3,4,78.0,247090_0,0,247090,N/A,0.0,247090_0_N/A
,89,82,83,83,91,83,73,87,52,84,89,82,1,1,1,1,1,91,49,92,86,82,82,91,93,92,84,48,90,82,49,84,72,82,Lean Medium,Ally Watt,50598861,Right,173,86,"['Power Shot', 'Press Proven', 'Quick Step', 'Relentless', 'Acrobatic']",[],"['ST', 'RM', 'RW']","['ST Advanced Forward', 'ST Poacher', 'RM Winger']",[],4,4,59.0,50598861_1,1,50598861,N/A,0.0,50598861_1_N/A
,78,91,77,82,81,87,75,77,86,76,52,55,1,1,1,1,1,75,85,84,83,64,55,62,84,83,73,84,78,75,87,79,76,56,Average Medium,Lisandro Martínez,239301,Left,178,84,"['Bruiser', 'Slide Tackle', 'Long Ball Pass']",[],['CB'],"['CB Stopper', 'CB Ball-Playing Defender']",[],3,4,77.0,239301_2,2,239301,N/A,0.0,239301_2_N/A
,82,81,75,73,86,85,83,61,81,83,24,34,1,1,1,1,1,77,82,88,84,29,34,70,89,86,57,81,94,77,84,83,73,31,Unique,Joe Gomez,225100,Right,188,84,"['Rapid', 'Long Throw', 'Block', 'Incisive Pass']",[],"['RB', 'LB', 'CB']","['RB Fullback', 'CB Stopper', 'CB Ball-Playing Defender']",['RB Falseback'],3,3,77.0,225100_3,3,225100,falseback,78.50668011626448,225100_3_falseback
,86,88,88,76,83,88,69,64,88,80,48,31,1,1,1,1,1,85,88,97,87,44,45,51,88,92,64,86,84,78,87,88,83,49,Lean Medium,Castello Lukeba,50593786,Left,184,87,"['Block', 'Anticipate', 'Slide Tackle', 'Bruiser', 'Relentless']",['Intercept'],['CB'],"['CB Stopper', 'CB Ball-Playing Defender']",['CB Defender'],2,3,73.0,50593786_4,4,50593786,defender,81.47589941569849,50593786_4_defender
,87,84,82,83,94,94,88,83,81,94,93,86,1,1,1,1,1,94,91,82,91,96,92,94,92,92,92,83,85,87,84,86,92,99,Unique,Zinedine Zidane,67110261,Right,185,94,"['Finesse Shot', 'Incisive Pass', 'Long Ball Pass', 'Technical', 'Flair', 'First Touch', 'Trivela']","['Acrobatic', 'Pinged Pass']","['CAM', 'CM']","['CAM Half Winger', 'CM Holding']","['CAM Playmaker', 'CAM Shadow Striker', 'CAM Classic 10', 'CM Box to Box', 'CM Playmaker', 'CM Half-Winger']",5,5,77.0,67110261_5,5,67110261,half_winger,84.71378846680892,67110261_5_half_winger
,87,84,82,83,94,94,88,83,81,94,93,86,1,1,1,1,1,94,91,82,91,96,92,94,92,92,92,83,85,87,84,86,92,99,Unique,Zinedine Zidane,67110261,Right,185,94,"['Finesse Shot', 'Incisive Pass', 'Long Ball Pass', 'Technical', 'Flair', 'First Touch', 'Trivela']","['Acrobatic', 'Pinged Pass']","['CAM', 'CM']","['CAM Half Winger', 'CM Holding']","['CAM Playmaker', 'CAM Shadow Striker', 'CAM Classic 10', 'CM Box to Box', 'CM Playmaker', 'CM Half-Winger']",5,5,77.0,67110261_5,5,67110261,box_to_box,89.24136291809441,67110261_5_box_to_box
,87,84,82,83,94,94,88,83,81,94,93,86,1,1,1,1,1,94,91,82,91,96,92,94,92,92,92,83,85,87,84,86,92,99,Unique,Zinedine Zidane,67110261,Right,185,94,"['Finesse Shot', 'Incisive Pass', 'Long Ball Pass', 'Technical', 'Flair', 'First Touch', 'Trivela']","['Acrobatic', 'Pinged Pass']","['CAM', 'CM']","['CAM Half Winger', 'CM Holding']","['CAM Playmaker', 'CAM Shadow Striker', 'CAM Classic 10', 'CM Box to Box', 'CM Playmaker', 'CM Half-Winger']",5,5,77.0,67110261_5,5,67110261,classic_ten,89.76941053033791,67110261_5_classic_ten
,87,84,82,83,94,94,88,83,81,94,93,86,1,1,1,1,1,94,91,82,91,96,92,94,92,92,92,83,85,87,84,86,92,99,Unique,Zinedine Zidane,67110261,Right,185,94,"['Finesse Shot', 'Incisive Pass', 'Long Ball Pass', 'Technical', 'Flair', 'First Touch', 'Trivela']","['Acrobatic', 'Pinged Pass']","['CAM', 'CM']","['CAM Half Winger', 'CM Holding']","['CAM Playmaker', 'CAM Shadow Striker', 'CAM Classic 10', 'CM Box to Box', 'CM Playmaker', 'CM Half-Winger']",5,5,77.0,67110261_5,5,67110261,playmaker,89.1844714723584,67110261_5_playmaker
,87,84,82,83,94,94,88,83,81,94,93,86,1,1,1,1,1,94,91,82,91,96,92,94,92,92,92,83,85,87,84,86,92,99,Unique,Zinedine Zidane,67110261,Right,185,94,"['Finesse Shot', 'Incisive Pass', 'Long Ball Pass', 'Technical', 'Flair', 'First Touch', 'Trivela']","['Acrobatic', 'Pinged Pass']","['CAM', 'CM']","['CAM Half Winger', 'CM Holding']","['CAM Playmaker', 'CAM Shadow Striker', 'CAM Classic 10', 'CM Box to Box', 'CM Playmaker', 'CM Half-Winger']",5,5,77.0,67110261_5,5,67110261,shadow_striker,88.93564502611153,67110261_5_shadow_striker
,88,83,74,73,84,87,86,59,88,83,67,26,1,1,1,1,1,85,86,95,78,42,44,81,92,88,70,92,89,85,88,88,69,54,Average Tall,Lukas Klostermann,50553979,Right,187,90,"['Incisive Pass', 'Pinged Pass', 'Jockey', 'Intercept', 'Rapid', 'Quick Step', 'Relentless', 'Aerial']",['Block'],"['RB', 'CB']","['CB Stopper', 'RB Falseback', 'CB Ball-Playing Defender']","['RB Fullback', 'CB Defender']",2,4,88.0,50553979_6,6,50553979,fullback,86.05815598477983,50553979_6_fullback
,88,83,74,73,84,87,86,59,88,83,67,26,1,1,1,1,1,85,86,95,78,42,44,81,92,88,70,92,89,85,88,88,69,54,Average Tall,Lukas Klostermann,50553979,Right,187,90,"['Incisive Pass', 'Pinged Pass', 'Jockey', 'Intercept', 'Rapid', 'Quick Step', 'Relentless', 'Aerial']",['Block'],"['RB', 'CB']","['CB Stopper', 'RB Falseback', 'CB Ball-Playing Defender']","['RB Fullback', 'CB Defender']",2,4,88.0,50553979_6,6,50553979,defender,85.09651228411327,50553979_6_defender
,82,90,80,85,86,85,77,75,91,82,72,75,1,1,1,1,1,92,89,97,99,86,75,76,90,99,86,88,89,99,91,94,89,74,Average Tall,Thomas Thiesson Kristensen,261573,Right,198,92,"['Power Header', 'Incisive Pass', 'Long Ball Pass', 'Tiki Taka', 'Block', 'Intercept', 'Bruiser', 'Technical', 'Relentless', 'Aerial']","['Jockey', 'Anticipate']","['CM', 'CDM', 'CB']","['CM Box to Box', 'CB Stopper', 'CB Ball-Playing Defender', 'CDM Holding']","['CDM Deep-Lying Playmaker', 'CM Holding', 'CB Defender']",3,5,85.0,261573_7,7,261573,defender,91.0362438279994,261573_7_defender
,82,90,80,85,86,85,77,75,91,82,72,75,1,1,1,1,1,92,89,97,99,86,75,76,90,99,86,88,89,99,91,94,89,74,Average Tall,Thomas Thiesson Kristensen,261573,Right,198,92,"['Power Header', 'Incisive Pass', 'Long Ball Pass', 'Tiki Taka', 'Block', 'Intercept', 'Bruiser', 'Technical', 'Relentless', 'Aerial']","['Jockey', 'Anticipate']","['CM', 'CDM', 'CB']","['CM Box to Box', 'CB Stopper', 'CB Ball-Playing Defender', 'CDM Holding']","['CDM Deep-Lying Playmaker', 'CM Holding', 'CB Defender']",3,5,85.0,261573_7,7,261573,holding,90.65467519130188,261573_7_holding
,82,90,80,85,86,85,77,75,91,82,72,75,1,1,1,1,1,92,89,97,99,86,75,76,90,99,86,88,89,99,91,94,89,74,Average Tall,Thomas Thiesson Kristensen,261573,Right,198,92,"['Power Header', 'Incisive Pass', 'Long Ball Pass', 'Tiki Taka', 'Block', 'Intercept', 'Bruiser', 'Technical', 'Relentless', 'Aerial']","['Jockey', 'Anticipate']","['CM', 'CDM', 'CB']","['CM Box to Box', 'CB Stopper', 'CB Ball-Playing Defender', 'CDM Holding']","['CDM Deep-Lying Playmaker', 'CM Holding', 'CB Defender']",3,5,85.0,261573_7,7,261573,deep_lying_playmaker,88.95254826344208,261573_7_deep_lying_playmaker
,95,84,92,87,88,84,83,75,42,86,89,72,1,1,1,1,1,90,45,92,74,87,85,90,88,85,87,44,96,94,47,85,84,80,Average Medium,Trinity Rodman,67375792,Right,173,89,"['Finesse Shot', 'Chip Shot', 'Rapid', 'Flair', 'Quick Step', 'Relentless', 'Trivela']",['Trickster'],"['LM', 'RM', 'RW', 'ST']","['RM Wide Midfielder', 'ST Poacher', 'LM Inside Forward']","['ST Advanced Forward', 'RM Inside Forward']",5,4,60.0,67375792_8,8,67375792,inside_forward,85.44817311431045,67375792_8_inside_forward
,95,84,92,87,88,84,83,75,42,86,89,72,1,1,1,1,1,90,45,92,74,87,85,90,88,85,87,44,96,94,47,85,84,80,Average Medium,Trinity Rodman,67375792,Right,173,89,"['Finesse Shot', 'Chip Shot', 'Rapid', 'Flair', 'Quick Step', 'Relentless', 'Trivela']",['Trickster'],"['LM', 'RM', 'RW', 'ST']","['RM Wide Midfielder', 'ST Poacher', 'LM Inside Forward']","['ST Advanced Forward', 'RM Inside Forward']",5,4,60.0,67375792_8,8,67375792,advanced_forward,86.42531340950725,67375792_8_advanced_forward
,89,59,93,93,90,86,72,84,64,94,89,89,1,1,1,1,1,49,65,69,90,84,64,91,88,90,85,66,86,90,63,59,88,78,Lean Medium,Jamal Musiala,256790,Right,184,89,"['Dead Ball', 'Incisive Pass', 'Tiki Taka', 'Flair', 'Trickster']",['Technical'],"['LM', 'CAM', 'CM']",['LM Inside Forward'],"['CAM Shadow Striker', 'CAM Classic 10']",5,4,72.0,256790_9,9,256790,classic_ten,86.02709353202134,256790_9_classic_ten
,89,59,93,93,90,86,72,84,64,94,89,89,1,1,1,1,1,49,65,69,90,84,64,91,88,90,85,66,86,90,63,59,88,78,Lean Medium,Jamal Musiala,256790,Right,184,89,"['Dead Ball', 'Incisive Pass', 'Tiki Taka', 'Flair', 'Trickster']",['Technical'],"['LM', 'CAM', 'CM']",['LM Inside Forward'],"['CAM Shadow Striker', 'CAM Classic 10']",5,4,72.0,256790_9,9,256790,shadow_striker,85.79130762628756,256790_9_shadow_striker
,88,79,87,87,88,84,82,72,90,86,43,48,1,1,1,1,1,90,90,94,89,58,66,69,94,91,75,92,92,89,93,92,80,55,Average Tall,Koni De Winter,50597422,Right,191,91,"['Long Ball Pass', 'Jockey', 'Block', 'Slide Tackle', 'Bruiser', 'Press Proven', 'Relentless', 'Aerial']","['Intercept', 'Quick Step']","['RB', 'CB']","['CB Ball-Playing Defender', 'RB Falseback', 'RB Wingback']","['CB Stopper', 'CB Defender', 'RB Fullback']",4,5,75.0,50597422_10,10,50597422,stopper,87.874613340532,50597422_10_stopper
,88,79,87,87,88,84,82,72,90,86,43,48,1,1,1,1,1,90,90,94,89,58,66,69,94,91,75,92,92,89,93,92,80,55,Average Tall,Koni De Winter,50597422,Right,191,91,"['Long Ball Pass', 'Jockey', 'Block', 'Slide Tackle', 'Bruiser', 'Press Proven', 'Relentless', 'Aerial']","['Intercept', 'Quick Step']","['RB', 'CB']","['CB Ball-Playing Defender', 'RB Falseback', 'RB Wingback']","['CB Stopper', 'CB Defender', 'RB Fullback']",4,5,75.0,50597422_10,10,50597422,fullback,90.3670809509456,50597422_10_fullback
,88,79,87,87,88,84,82,72,90,86,43,48,1,1,1,1,1,90,90,94,89,58,66,69,94,91,75,92,92,89,93,92,80,55,Average Tall,Koni De Winter,50597422,Right,191,91,"['Long Ball Pass', 'Jockey', 'Block', 'Slide Tackle', 'Bruiser', 'Press Proven', 'Relentless', 'Aerial']","['Intercept', 'Quick Step']","['RB', 'CB']","['CB Ball-Playing Defender', 'RB Falseback', 'RB Wingback']","['CB Stopper', 'CB Defender', 'RB Fullback']",4,5,75.0,50597422_10,10,50597422,defender,89.3167898186428,50597422_10_defender
,88,84,92,92,91,88,85,91,88,87,77,99,1,1,1,1,1,72,90,80,92,89,92,76,90,92,88,87,88,90,90,85,91,76,Average Medium,Hakan Çalhanoğlu,67316992,Right,178,90,"['Dead Ball', 'Pinged Pass', 'Long Ball Pass', 'Tiki Taka', 'Jockey', 'Intercept', 'Bruiser', 'Technical', 'First Touch']","['Incisive Pass', 'Anticipate']","['CDM', 'CM']","['CM Holding', 'CM Playmaker', 'CDM Holding']","['CM Deep-Lying Playmaker', 'CDM Centre-Half', 'CDM Deep-Lying Playmaker', 'CM Box to Box']",4,5,69.0,67316992_11,11,67316992,box_to_box,91.39042093698922,67316992_11_box_to_box
,88,84,92,92,91,88,85,91,88,87,77,99,1,1,1,1,1,72,90,80,92,89,92,76,90,92,88,87,88,90,90,85,91,76,Average Medium,Hakan Çalhanoğlu,67316992,Right,178,90,"['Dead Ball', 'Pinged Pass', 'Long Ball Pass', 'Tiki Taka', 'Jockey', 'Intercept', 'Bruiser', 'Technical', 'First Touch']","['Incisive Pass', 'Anticipate']","['CDM', 'CM']","['CM Holding', 'CM Playmaker', 'CDM Holding']","['CM Deep-Lying Playmaker', 'CDM Centre-Half', 'CDM Deep-Lying Playmaker', 'CM Box to Box']",4,5,69.0,67316992_11,11,67316992,centre_half,87.42133872756544,67316992_11_centre_half
,88,84,92,92,91,88,85,91,88,87,77,99,1,1,1,1,1,72,90,80,92,89,92,76,90,92,88,87,88,90,90,85,91,76,Average Medium,Hakan Çalhanoğlu,67316992,Right,178,90,"['Dead Ball', 'Pinged Pass', 'Long Ball Pass', 'Tiki Taka', 'Jockey', 'Intercept', 'Bruiser', 'Technical', 'First Touch']","['Incisive Pass', 'Anticipate']","['CDM', 'CM']","['CM Holding', 'CM Playmaker', 'CDM Holding']","['CM Deep-Lying Playmaker', 'CDM Centre-Half', 'CDM Deep-Lying Playmaker', 'CM Box to Box']",4,5,69.0,67316992_11,11,67316992,deep_lying_playmaker,90.91795953493092,67316992_11_deep_lying_playmaker
,91,72,88,92,93,92,87,93,28,94,90,92,1,1,1,1,1,67,45,77,87,87,88,88,90,87,83,38,87,72,41,71,92,83,Unique,Diego Maradona,50521690,Left,165,89,"['Finesse Shot', 'Dead Ball', 'Incisive Pass', 'Tiki Taka', 'Flair', 'First Touch', 'Relentless', 'Trivela']",['Technical'],"['RM', 'LW', 'CAM', 'RW']","['RW Winger', 'CAM Playmaker', 'LW Winger', 'RM Winger']","['RW Inside Forward', 'LW Inside Forward', 'RM Inside Forward']",5,4,70.0,50521690_12,12,50521690,inside_forward,85.11442383461808,50521690_12_inside_forward
,92,92,93,86,88,84,92,91,82,88,78,45,1,1,1,1,1,71,82,90,89,83,68,99,82,91,92,92,96,93,91,78,81,85,Average Medium,Abner Vinícius,50595463,Left,182,89,"['Incisive Pass', 'Whipped Pass', 'Block', 'Intercept', 'Press Proven', 'Relentless']","['Quick Step', 'Pinged Pass']","['LM', 'LB', 'CM']","['CM Box to Box', 'CM Holding', 'CM Half-Winger', 'LM Wide Midfielder', 'LM Wide Playmaker']","['LB Fullback', 'LB Falseback', 'CM Deep-Lying Playmaker', 'CM Playmaker', 'LM Winger']",4,4,74.0,50595463_13,13,50595463,winger,86.88015862421463,50595463_13_winger
,92,92,93,86,88,84,92,91,82,88,78,45,1,1,1,1,1,71,82,90,89,83,68,99,82,91,92,92,96,93,91,78,81,85,Average Medium,Abner Vinícius,50595463,Left,182,89,"['Incisive Pass', 'Whipped Pass', 'Block', 'Intercept', 'Press Proven', 'Relentless']","['Quick Step', 'Pinged Pass']","['LM', 'LB', 'CM']","['CM Box to Box', 'CM Holding', 'CM Half-Winger', 'LM Wide Midfielder', 'LM Wide Playmaker']","['LB Fullback', 'LB Falseback', 'CM Deep-Lying Playmaker', 'CM Playmaker', 'LM Winger']",4,4,74.0,50595463_13,13,50595463,playmaker,86.38513965858934,50595463_13_playmaker
