archetype,metaRating,height,weight,skillMoves,weakFoot,attributeAcceleration,attributeSprintSpeed,attributePositioning,attributeFinishing,attributeShotPower,attributeLongShots,attributeVolleys,attributePenalties,attributeVision,attributeCrossing,attributeFkAccuracy,attributeShortPassing,attributeLongPassing,attributeCurve,attributeAgility,attributeBalance,attributeReactions,attributeBallControl,attributeDribbling,attributeComposure,attributeInterceptions,attributeHeadingAccuracy,attributeDefensiveAwareness,attributeStandingTackle,attributeSlidingTackle,attributeJumping,attributeStamina,attributeStrength,attributeAggression,Finesse Shot,Chip Shot,Power Shot,Dead Ball,Power Header,Low Driven Shot,Incisive Pass,Pinged Pass,Long Ball Pass,Tiki Taka,Whipped Pass,Jockey,Block,Intercept,Anticipate,Slide Tackle,Bruiser,Technical,Rapid,Flair,First Touch,Trickster,Press Proven,Quick Step,Relentless,Trivela,Acrobatic,Long Throw,Aerial,accelerateType_EXPLOSIVE,accelerateType_MOSTLY_EXPLOSIVE,accelerateType_CONTROLLED_EXPLOSIVE,accelerateType_CONTROLLED,accelerateType_CONTROLLED_LENGTHY,accelerateType_MOSTLY_LENGTHY,accelerateType_LENGTHY,bodytype_Lean Medium,bodytype_Average Medium,bodytype_Stocky Medium,bodytype_Lean Tall,bodytype_Average Tall,bodytype_Stocky Tall,bodytype_Lean Short,bodytype_Average Short,bodytype_Stocky Short,bodytype_Unique
winger,94.25076922612728,175,59,5,5,97,96,96,95,96,97,92,86,97,97,83,96,92,99,99,88,90,97,98,92,43,87,56,62,57,95,98,84,75,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,2,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
inside_forward,94.49941465027443,175,59,5,5,97,96,96,95,96,97,92,86,97,97,83,96,92,99,99,88,90,97,98,92,43,87,56,62,57,95,98,84,75,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,2,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
wide_playmaker,91.98748761142991,175,59,5,5,97,96,96,95,96,97,92,86,97,97,83,96,92,99,99,88,90,97,98,92,43,87,56,62,57,95,98,84,75,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,2,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
wide_midfielder,93.18029500853626,175,59,5,5,97,96,96,95,96,97,92,86,97,97,83,96,92,99,99,88,90,97,98,92,43,87,56,62,57,95,98,84,75,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,1,2,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
holding,92.97096365138664,191,82,4,5,89,89,82,80,97,95,76,67,97,87,70,98,98,95,85,85,96,93,91,97,95,92,99,98,92,90,98,90,92,0,0,1,0,0,0,1,2,1,2,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
centre_half,93.58257008535409,191,82,4,5,89,89,82,80,97,95,76,67,97,87,70,98,98,95,85,85,96,93,91,97,95,92,99,98,92,90,98,90,92,0,0,1,0,0,0,1,2,1,2,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
deep_lying_playmaker,94.30290522046235,191,82,4,5,89,89,82,80,97,95,76,67,97,87,70,98,98,95,85,85,96,93,91,97,95,92,99,98,92,90,98,90,92,0,0,1,0,0,0,1,2,1,2,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
wide_half,92.98845782552286,191,82,4,5,89,89,82,80,97,95,76,67,97,87,70,98,98,95,85,85,96,93,91,97,95,92,99,98,92,90,98,90,92,0,0,1,0,0,0,1,2,1,2,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
box_to_box,92.87908686479577,191,82,4,5,89,89,82,80,97,95,76,67,97,87,70,98,98,95,85,85,96,93,91,97,95,92,99,98,92,90,98,90,92,0,0,1,0,0,0,1,2,1,2,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
playmaker,88.05346860163323,191,82,4,5,89,89,82,80,97,95,76,67,97,87,70,98,98,95,85,85,96,93,91,97,95,92,99,98,92,90,98,90,92,0,0,1,0,0,0,1,2,1,2,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
